R,G,B,Label
20.8077,29.8694,9.8279,0
20.9933,49.8653,41.9001,0
19.7909,44.6659,32.5833,0
18.8862,52.153,39.179,0
15.1101,31.2196,19.4162,0
20.0049,53.9414,39.7868,0
32.2126,81.2413,61.699,0
33.7312,70.1876,44.038,0
27.7322,37.7084,9.3194,0
29.6795,63.9391,34.7207,0
17.5594,19.8359,3.0643,0
27.8569,40.881,16.8915,0
24.9882,35.3418,16.3442,0
25.5918,33.8183,14.8347,0
30.2521,67.0881,52.4844,0
36.3142,80.5586,63.2348,0
76.238,82.7427,50.6655,1
122.1832,114.6655,72.4196,2
45.1103,84.5767,63.2249,0
28.8226,34.4067,8.4059,0
30.499,42.4362,14.4422,0
18.9854,18.3904,1.6547,0
27.0842,30.9352,7.1768,0
25.4293,33.7564,17.0528,0
26.7954,52.9452,35.6265,0
25.1455,48.2003,23.3993,0
20.7335,32.3442,14.2966,0
22.4862,32.3868,6.4539,0
21.6414,30.8888,7.7728,0
31.4451,73.3267,47.668,0
19.4235,38.6538,17.7622,0
24.5912,90.2299,76.8511,0
23.8224,79.4982,63.3007,0
21.5476,95.9848,81.2269,0
28.3385,91.5051,70.8476,0
18.7321,31.2609,11.6146,0
17.6826,24.3779,4.0738,0
21.0694,29.1793,10.172,0
21.3243,28.5784,10.6807,0
20.9524,30.2755,10.4988,0
33.3883,90.9266,73.055,0
20.8394,65.0312,51.833,0
25.8491,107.7399,93.0914,0
22.3376,66.5906,46.2352,0
33.4147,65.5119,36.307,0
28.0022,68.4339,42.9583,0
34.6814,78.3076,54.5622,0
22.6794,31.4317,9.2819,0
24.9383,58.239,33.9505,0
23.0304,37.6781,15.5786,0
28.244,58.3795,32.8535,0
27.0404,42.2899,20.0487,0
26.4671,32.3498,11.8322,0
26.0138,33.3119,12.3866,0
32.1692,75.2726,64.4542,0
42.4064,107.632,92.968,0
116.2287,108.3525,65.4828,2
36.5264,66.4639,50.2997,0
34.6862,51.8767,31.1826,0
31.3861,43.0346,17.1687,0
29.3404,33.7798,9.0193,0
24.5179,23.4767,2.7294,0
32.1237,66.1495,46.5645,0
27.5791,39.8315,17.1894,0
24.7762,48.4446,30.535,0
22.4558,65.1938,46.9179,0
26.5405,55.2788,29.2832,0
23.9376,32.0922,7.4026,0
22.287,36.7847,24.732,0
21.5055,39.6584,25.5034,0
31.4401,113.2348,101.8809,0
20.5891,51.9441,38.5676,0
15.8829,51.4225,41.8122,0
25.6459,86.6772,71.4797,0
21.64,40.5338,21.5006,0
13.3488,14.8334,1.1806,0
15.2609,18.0947,1.5133,0
10.9168,10.1106,0.8989,0
23.8156,37.965,14.9772,0
32.4955,73.7258,53.2232,0
21.5463,83.4189,77.3932,0
23.3497,84.2192,68.4703,0
26.2662,76.5934,54.1271,0
38.9687,98.1034,72.5814,0
26.9143,62.385,30.4668,0
25.879,37.602,11.5059,0
29.4804,39.9082,10.6593,0
27.233,38.4065,11.5976,0
24.2588,60.8167,36.7574,0
26.1941,37.9945,13.4903,0
31.348,52.6885,29.9284,0
28.2307,64.9986,48.8033,0
32.3077,98.0128,82.1745,0
33.0423,76.7402,56.3435,0
33.4949,58.8813,36.2875,0
57.5608,64.2369,38.2929,1
41.4811,53.8484,24.338,0
30.1641,32.7558,6.7511,0
34.9228,44.8133,16.7527,0
26.7383,28.7431,5.2369,0
27.783,37.275,15.1527,0
28.3582,42.8058,19.3067,0
29.0471,53.2705,34.0928,0
24.6174,43.6305,22.6208,0
30.0045,73.6365,53.2173,0
29.5045,57.9609,33.2909,0
23.8502,36.2658,6.4957,0
17.0502,20.0595,4.4103,0
29.5325,68.0468,46.2874,0
23.3702,88.2754,75.2944,0
20.8218,49.2705,28.4006,0
18.383,32.3058,13.7511,0
24.1431,61.7964,49.8597,0
23.4461,44.2492,26.3133,0
15.892,17.6376,2.0847,0
16.8114,24.9766,2.2357,0
16.9053,23.7813,2.137,0
17.08,21.5363,8.5257,0
41.5401,93.1457,74.8733,0
25.4659,73.8378,56.2899,0
30.7762,99.5119,81.484,0
19.1571,36.4308,16.344,0
24.5409,56.5787,39.0672,0
29.7379,69.2804,49.5705,0
14.127,17.1749,5.84,0
34.1519,85.2146,80.9733,0
31.1096,91.4361,94.5186,0
42.1816,92.5348,71.4867,0
21.3072,25.2727,4.7887,0
23.2883,21.676,3.5066,0
29.6858,55.6673,34.873,0
31.3671,103.7432,87.6583,0
37.1098,102.7321,84.0351,0
31.5582,44.3902,16.3895,0
43.2236,72.8306,50.1039,0
36.8317,52.7078,27.7664,0
24.6452,24.0326,4.5048,0
36.7868,46.4838,16.9724,0
32.7126,37.5621,11.2004,0
30.5192,36.2039,15.5707,0
32.5239,43.0425,18.1944,0
31.3919,52.9885,34.1524,0
29.6818,57.0386,35.3239,0
22.606,33.7073,12.7708,0
20.5079,26.9854,6.119,0
